"Duration (ms),Start date,End date,Start station number,Start station,End station number,End station,Bike number,Member Type"
"427387,3/31/2016 22:57,3/31/2016 23:04,31602,Park Rd & Holmead Pl NW,31207,Georgia Ave and Fairmont St NW,W20842,Registered"
"587551,3/31/2016 22:46,3/31/2016 22:56,31105,14th & Harvard St NW,31266,11th & M St NW,W21385,Registered"
"397979,3/31/2016 22:46,3/31/2016 22:53,31634,3rd & Tingey St SE,31108,4th & M St SW,W00773,Registered"
"444282,3/31/2016 22:42,3/31/2016 22:50,31200,Massachusetts Ave & Dupont Circle NW,31201,15th & P St NW,W21397,Registered"
"780875,3/31/2016 22:21,3/31/2016 22:34,31203,14th & Rhode Island Ave NW,31604,3rd & H St NW,W00213,Registered"
"1023312,3/31/2016 22:20,3/31/2016 22:37,31224,19th & L St NW,31623,Columbus Circle / Union Station,W01261,Registered"
"660699,3/31/2016 22:10,3/31/2016 22:21,31202,14th & R St NW,31200,Massachusetts Ave & Dupont Circle NW,W21341,Registered"
"1800705,3/31/2016 21:50,3/31/2016 22:20,31232,7th & F St NW / National Portrait Gallery,31273,Hains Point/Buckeye & Ohio Dr SW,W01049,Registered"
"217609,3/31/2016 21:45,3/31/2016 21:48,31265,5th St & Massachusetts Ave NW,31624,North Capitol St & F St NW,W20073,Registered"
"395528,3/31/2016 21:26,3/31/2016 21:33,31032,Washington Blvd & 7th St N,31035,N Quincy St & Glebe Rd,W00408,Registered"
"1014739,3/31/2016 21:19,3/31/2016 21:36,31263,10th & K St NW,31232,7th & F St NW / National Portrait Gallery,W21857,Casual"
"241019,3/31/2016 21:14,3/31/2016 21:18,31100,19th St & Pennsylvania Ave NW,31275,New Hampshire Ave & 24th St NW,W21054,Registered"
"6179951,3/31/2016 21:06,3/31/2016 22:49,31244,4th & E St SW,31108,4th & M St SW,W20588,Casual"
"1429748,3/31/2016 21:03,3/31/2016 21:27,31252,21st St & Pennsylvania Ave NW,31281,8th & O St NW,W00787,Registered"
"149802,3/31/2016 20:50,3/31/2016 20:52,31267,17th St & Massachusetts Ave NW,31213,17th & K St NW,W01098,Registered"
"143352,3/31/2016 20:41,3/31/2016 20:44,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31610,Eastern Market / 7th & North Carolina Ave SE,W21007,Registered"
"580035,3/31/2016 20:37,3/31/2016 20:46,31269,3rd St & Pennsylvania Ave SE,31607,14th & D St SE,W20175,Casual"
"299881,3/31/2016 20:28,3/31/2016 20:33,31203,14th & Rhode Island Ave NW,31245,7th & R St NW / Shaw Library,W00885,Registered"
"226975,3/31/2016 20:21,3/31/2016 20:25,31230,Metro Center / 12th & G St NW,31232,7th & F St NW / National Portrait Gallery,W01240,Registered"
"1174442,3/31/2016 20:14,3/31/2016 20:33,31205,21st & I St NW,31121,Calvert St & Woodley Pl NW,W20411,Registered"
"434175,3/31/2016 20:14,3/31/2016 20:21,31083,Potomac Greens Dr & Slaters Ln,31047,Braddock Rd Metro,W21210,Registered"
"2220940,3/31/2016 20:02,3/31/2016 20:39,31247,Jefferson Dr & 14th St SW,31202,14th & R St NW,W21341,Registered"
"381287,3/31/2016 19:53,3/31/2016 19:59,31019,Wilson Blvd & N Edgewood St,31024,Virginia Square Metro / N Monroe St & 9th St N,W21928,Registered"
"313154,3/31/2016 19:48,3/31/2016 19:53,31602,Park Rd & Holmead Pl NW,31400,Georgia & New Hampshire Ave NW,W22090,Registered"
"742736,3/31/2016 19:43,3/31/2016 19:56,31300,Van Ness Metro / UDC,31315,McKinley St & Connecticut Ave NW,W00533,Registered"
"773904,3/31/2016 19:38,3/31/2016 19:51,31228,8th & H St NW,31223,Convention Center / 7th & M St NW,W20685,Casual"
"381269,3/31/2016 19:30,3/31/2016 19:36,31614,11th & H St NE,31623,Columbus Circle / Union Station,W00382,Registered"
"1216338,3/31/2016 19:21,3/31/2016 19:41,31222,New York Ave & 15th St NW,31618,4th & East Capitol St NE,W21108,Registered"
"309780,3/31/2016 19:20,3/31/2016 19:25,31023,Fairfax Dr & Wilson Blvd,31050,Barton St & 10th St N,W00360,Registered"
"1518098,3/31/2016 19:16,3/31/2016 19:42,31247,Jefferson Dr & 14th St SW,31241,Thomas Circle,W21157,Casual"
"721349,3/31/2016 19:05,3/31/2016 19:17,31639,2nd & G St NE,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,W22185,Registered"
"2160938,3/31/2016 18:53,3/31/2016 19:29,31637,North Capitol St & G Pl NE,31239,17th & Rhode Island Ave NW,W00381,Casual"
"890090,3/31/2016 18:47,3/31/2016 19:02,31282,16th & R St NW,31312,Wisconsin Ave & O St NW,W22080,Registered"
"1025312,3/31/2016 18:42,3/31/2016 18:59,31611,13th & H St NE,31503,Florida Ave & R St NW,W20136,Registered"
"5470023,3/31/2016 18:41,3/31/2016 20:12,31228,8th & H St NW,31201,15th & P St NW,W21596,Registered"
"328937,3/31/2016 18:36,3/31/2016 18:41,32048,Bethesda Metro,32008,Cordell & Norfolk Ave,W21103,Registered"
"489396,3/31/2016 18:31,3/31/2016 18:39,31205,21st & I St NW,31215,Georgetown Harbor / 30th St NW,W21281,Registered"
"429453,3/31/2016 18:31,3/31/2016 18:38,31265,5th St & Massachusetts Ave NW,31627,M St & Delaware Ave NE,W20588,Registered"
"314232,3/31/2016 18:23,3/31/2016 18:29,31213,17th & K St NW,31216,14th St & New York Ave NW,W20319,Registered"
"1060039,3/31/2016 18:21,3/31/2016 18:39,31257,22nd & I St NW / Foggy Bottom,31265,5th St & Massachusetts Ave NW,W21431,Registered"
"794048,3/31/2016 18:20,3/31/2016 18:33,31621,4th & D St NW / Judiciary Square,31622,13th & D St NE,W20406,Casual"
"1109900,3/31/2016 18:17,3/31/2016 18:36,31620,5th & F St NW,31203,14th & Rhode Island Ave NW,W22244,Registered"
"1393904,3/31/2016 18:17,3/31/2016 18:41,31212,21st & M St NW,31639,2nd & G St NE,W21488,Registered"
"839556,3/31/2016 18:14,3/31/2016 18:28,31002,20th & Crystal Dr,31010,S Glebe & Potomac Ave,W00164,Registered"
"777765,3/31/2016 18:10,3/31/2016 18:23,31201,15th & P St NW,31102,11th & Kenyon St NW,W00478,Registered"
"729889,3/31/2016 18:09,3/31/2016 18:21,31279,19th & G St NW,31264,6th St & Indiana Ave NW,W22157,Registered"
"1070807,3/31/2016 18:05,3/31/2016 18:22,31227,13th St & New York Ave NW,31611,13th & H St NE,W21313,Registered"
"1187574,3/31/2016 18:05,3/31/2016 18:25,31252,21st St & Pennsylvania Ave NW,31600,5th & K St NW,W21981,Registered"
"456361,3/31/2016 18:01,3/31/2016 18:09,31214,17th & Corcoran St NW,31101,14th & V St NW,W20724,Registered"
"746363,3/31/2016 18:01,3/31/2016 18:14,31633,Independence Ave & L'Enfant Plaza SW/DOE,31631,8th & F St NE,W20331,Registered"
"216656,3/31/2016 18:02,3/31/2016 18:05,31602,Park Rd & Holmead Pl NW,31401,14th St & Spring Rd NW,W22248,Registered"
"946729,3/31/2016 17:56,3/31/2016 18:11,31275,New Hampshire Ave & 24th St NW,31268,12th & U St NW,W21730,Registered"
"1383997,3/31/2016 17:50,3/31/2016 18:13,31243,Maryland & Independence Ave SW,31200,Massachusetts Ave & Dupont Circle NW,W01440,Casual"
"1222512,3/31/2016 17:47,3/31/2016 18:07,31247,Jefferson Dr & 14th St SW,31071,Long Bridge Park/Long Bridge Dr & 6th St S,W20055,Registered"
"624871,3/31/2016 17:46,3/31/2016 17:56,31204,20th & E St NW,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,W22236,Registered"
"885627,3/31/2016 17:46,3/31/2016 18:01,31226,34th St & Wisconsin Ave NW,31201,15th & P St NW,W00894,Registered"
"812958,3/31/2016 17:45,3/31/2016 17:58,31200,Massachusetts Ave & Dupont Circle NW,31111,10th & U St NW,W21763,Registered"
"1220091,3/31/2016 17:45,3/31/2016 18:06,31276,15th & L St NW,31517,Union Market/6th St & Neal Pl NE,W21360,Registered"
"1471391,3/31/2016 17:44,3/31/2016 18:08,31204,20th & E St NW,31624,North Capitol St & F St NW,W21514,Registered"
"2769236,3/31/2016 17:43,3/31/2016 18:29,31314,34th & Water St NW,31277,17th & G St NW,W01068,Casual"
